ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,lon,lat
525,0,2145,14.399999618530273,16,20.15999984741211,10.869999885559082,57.54166666666667,29.625
526,0,362,29.100000381469727,14.899999618530273,1.0499999523162842,14.020000457763672,4.875,16.625
527,0,926,21.5,14.5,8.119999885559082,12.630000114440918,40.875,27.791666666666636
528,0,450,24.799999237060547,14,4.829999923706055,12.6899995803833,33.791666666666664,23.2083333333333
529,0,424,6.699999809265137,12.699999809265137,3.809999942779541,13.609999656677246,70.79166666666667,46.375
530,0,5361,-9.699999809265137,8.199999809265137,277.0400085449219,6.650000095367432,72.45833333333334,36.791666666666636
531,0,90,27.600000381469727,12,3.9200000762939453,14.239999771118164,55.04166666666667,20.125
532,0,1811,6.699999809265137,12.800000190734863,73.19000244140625,8.640000343322754,37.625,40.041666666666636
533,0,187,26.700000762939453,9.5,9.300000190734863,12.199999809265137,3.708333333333332,7.4583333333333
534,0,427,4.599999904632568,10.699999809265137,8.449999809265137,12.210000038146973,66.45833333333334,48.4583333333333
535,0,436,26.799999237060547,15.699999809265137,1.309999942779541,15.0600004196167,10.708333333333334,20.041666666666636
536,0,278,29.100000381469727,14.100000381469727,3.4000000953674316,13.140000343322754,-1.375,14.541666666666636
537,0,229,20.700000762939453,16.100000381469727,2.5,13.210000038146973,20.208333333333336,28.4583333333333
538,0,90,27.200000762939453,10.199999809265137,2.450000047683716,14.319999694824219,56.95833333333334,21.2083333333333
539,0,89,26.200000762939453,8.399999618530273,11.010000228881836,11.699999809265137,59.45833333333334,25.625
540,0,460,27.200000762939453,15.899999618530273,4.179999828338623,13.720000267028809,10.375,17.2083333333333
541,0,1735,9.600000381469727,11.199999809265137,179.94000244140625,7.309999942779541,44.708333333333336,37.041666666666636
542,0,236,24.700000762939453,16.399999618530273,3.049999952316284,13.869999885559082,29.375,23.2083333333333
543,0,783,18,15.699999809265137,16.469999313354492,12.479999542236328,60.625,34.2083333333333
544,0,368,24,16.700000762939453,1.0099999904632568,13.640000343322754,27.541666666666664,22.791666666666636
545,0,113,25.899999618530273,11.800000190734863,12.180000305175781,11.960000038146973,44.79166666666667,-16.7916666666667
546,0,104,11.300000190734863,9.600000381469727,5.380000114440918,12.90999984741211,21.375,44.9583333333333
547,0,530,12.300000190734863,9.699999809265137,48.630001068115234,9.8100004196167,-2.625,42.541666666666636
548,0,25,24.200000762939453,10.800000190734863,2.4000000953674316,13.800000190734863,34.458333333333336,-20.458333333333357
549,0,5,26.799999237060547,8,1.9299999475479126,13.369999885559082,6.708333333333332,4.625
550,0,728,15.800000190734863,11.199999809265137,99.279998779296875,8.350000381469727,-3.791666666666669,37.7083333333333
